Amphi-A;595h10
Amphi-B;4h0
Amphi-D;0h0
Amphi-E;0h0
Amphi-L001;0h0
Amphi-L002;0h0
Amphi-L003;0h0
Amphi-L004;0h0
Amphi-L005;0h0
Amphi-L006;0h0
A018;0h0
A020;0h0
A115;0h0
A116;0h0
A117;204h0
A118;60h0
A119;62h40
A120;62h40
B002;34h40
B003;0h0
B005;0h0
B006;0h0
B'107;0h0
B'108;0h0
C002;0h0
C004;0h0
D003;106h40
D005;0h0
Da001;0h0
Da003;0h0
Da004;0h0
Da005;0h0
Da101;0h0
Da102;0h0
Da107;0h0
Da106;0h0
Da201;0h0
Da207;0h0
E001;0h0
E002;0h0
F001;0h0
F002;0h0
F003;0h0
F004;0h0
F101;0h0
F102;0h0
G001;0h0
G002;0h0
G003;0h0
G101;0h0
G102;67h0
G103;67h0
G104;59h0
G105;59h0
G204;53h30
G205;0h0
H001;0h0
H002;118h40
H003;117h40
H004;106h50
H005;0h0
H006;159h0
H007-H008;341h30
H113;339h20
H217;60h0
I001;52h0
I002;80h0
I003;80h0
I004;80h0
I005;80h0
I006;80h0
I008;80h0
I109;80h0
J004;0h0
J005;0h0
J104;0h0
J105;0h0
LS01;21h20
L101;24h45
L102;49h20
L103;65h20
L104;65h20
L105;52h0
L106;52h0
L107;45h20
L108;45h20
L201;0h0
L202;40h0
L203;37h20
L204;52h0
L205;52h0
L206;34h40
L207;37h20
L208;25h20
L209;29h20
L210;25h20
L211;25h20
L212;0h0
L218;0h0
L219;0h0
L220;0h0
L221;0h0
L222;0h0
L229;0h0
L230;41h20
L231;41h20
L232;41h20
AMPHI-A;41h20
AMPHI-B;36h40
Amphi-A-EVAL;34h40
Amphi-B-EVAL;4h30
Amphi-D-EVAL;6h0
Amphi-E-EVAL;0h0
Amphi-L001-EVAL;0h0
Amphi-L002-EVAL;0h0
Amphi-L003-EVAL;0h0
Amphi-L004-EVAL;1h30
Amphi-L005-EVAL;0h0
Amphi-L006-EVAL;0h0
Virtual-Anglais1-1;0h0
Virtual-Anglais1-2;0h0
Virtual-Anglais1-3;0h0
Virtual-Anglais1-4;0h0
Virtual-Anglais1-5;0h0
Virtual-Anglais1-6;0h0
Virtual-Anglais1-7;0h0
Virtual-Anglais1-8;0h0
Virtual-Anglais1-9;0h0
Virtual-Anglais1-10;0h0
Virtual-Anglais2-1;0h0
Virtual-Anglais2-2;0h0
Virtual-Anglais2-3;0h0
Virtual-Anglais2-4;0h0
Virtual-Anglais2-5;0h0
Virtual-Anglais2-6;0h0
Virtual-Anglais2-7;0h0
Virtual-Anglais2-8;0h0
Virtual-Anglais2-9;0h0
Virtual-Anglais2-10;0h0
