vide;595h10
Amphi-A;4h0
Amphi-B;0h0
Amphi-D;0h0
Amphi-E;0h0
Amphi-L001;0h0
Amphi-L002;0h0
Amphi-L003;0h0
Amphi-L004;0h0
Amphi-L005;0h0
Amphi-L006;0h0
A018;0h0
A020;0h0
A115;0h0
A116;204h0
A117;60h0
A118;62h40
A119;62h40
A120;34h40
B002;0h0
B003;0h0
B005;0h0
B006;0h0
B'107;0h0
B'108;0h0
C002;0h0
C004;106h40
D003;0h0
D005;0h0
Da001;0h0
Da003;0h0
Da004;0h0
Da005;0h0
Da101;0h0
Da102;0h0
Da107;0h0
Da106;0h0
Da201;0h0
Da207;0h0
E001;0h0
E002;0h0
F001;0h0
F002;0h0
F003;0h0
F004;0h0
F101;0h0
F102;0h0
G001;0h0
G002;0h0
G003;0h0
G101;67h0
G102;67h0
G103;59h0
G104;59h0
G105;53h30
G204;0h0
G205;0h0
H001;118h40
H002;117h40
H003;106h50
H004;0h0
H005;159h0
H006;341h30
H007-H008;339h20
H113;60h0
H217;52h0
I001;80h0
I002;80h0
I003;80h0
I004;80h0
I005;80h0
I006;80h0
I008;80h0
I109;0h0
J004;0h0
J005;0h0
J104;0h0
J105;21h20
LS01;24h45
L101;49h20
L102;65h20
L103;65h20
L104;52h0
L105;52h0
L106;45h20
L107;45h20
L108;0h0
L201;40h0
L202;37h20
L203;52h0
L204;52h0
L205;34h40
L206;37h20
L207;25h20
L208;29h20
L209;25h20
L210;25h20
L211;0h0
L212;0h0
L218;0h0
L219;0h0
L220;0h0
L221;0h0
L222;0h0
L229;41h20
L230;41h20
L231;41h20
L232;41h20
AMPHI-A;36h40
AMPHI-B;34h40
Amphi-A-EVAL;4h30
Amphi-B-EVAL;6h0
Amphi-D-EVAL;0h0
Amphi-E-EVAL;0h0
Amphi-L001-EVAL;0h0
Amphi-L002-EVAL;0h0
Amphi-L003-EVAL;1h30
Amphi-L004-EVAL;0h0
Amphi-L005-EVAL;0h0
Amphi-L006-EVAL;0h0
Virtual-Anglais1-1;0h0
Virtual-Anglais1-2;0h0
Virtual-Anglais1-3;0h0
Virtual-Anglais1-4;0h0
Virtual-Anglais1-5;0h0
Virtual-Anglais1-6;0h0
Virtual-Anglais1-7;0h0
Virtual-Anglais1-8;0h0
Virtual-Anglais1-9;0h0
Virtual-Anglais1-10;0h0
Virtual-Anglais2-1;0h0
Virtual-Anglais2-2;0h0
Virtual-Anglais2-3;0h0
Virtual-Anglais2-4;0h0
Virtual-Anglais2-5;0h0
Virtual-Anglais2-6;0h0
Virtual-Anglais2-7;0h0
Virtual-Anglais2-8;0h0
Virtual-Anglais2-9;0h0
Virtual-Anglais2-10;0h0
